candidate_id,candidate_name,class_id,stance
qubes_os,Qubes OS,memory_safety,weak
qubes_os,Qubes OS,allocator_hardening,weak
qubes_os,Qubes OS,sandboxing_primitives,strong
qubes_os,Qubes OS,mac_framework,n_a
qubes_os,Qubes OS,verified_boot,partial
qubes_os,Qubes OS,reproducible_deployment,weak
qubes_os,Qubes OS,disposable_execution,strong
qubes_os,Qubes OS,update_automation,partial
nixos,NixOS,memory_safety,weak
nixos,NixOS,allocator_hardening,weak
nixos,NixOS,sandboxing_primitives,weak
nixos,NixOS,mac_framework,weak
nixos,NixOS,verified_boot,weak
nixos,NixOS,reproducible_deployment,strong
nixos,NixOS,disposable_execution,weak
nixos,NixOS,update_automation,partial
secureblue,secureblue,memory_safety,weak
secureblue,secureblue,allocator_hardening,strong
secureblue,secureblue,sandboxing_primitives,partial
secureblue,secureblue,mac_framework,strong
secureblue,secureblue,verified_boot,weak
secureblue,secureblue,reproducible_deployment,partial
secureblue,secureblue,disposable_execution,weak
secureblue,secureblue,update_automation,strong
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),memory_safety,weak
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),allocator_hardening,weak
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),sandboxing_primitives,partial
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),mac_framework,partial
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),verified_boot,weak
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),reproducible_deployment,partial
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),disposable_execution,weak
fedora_atomic,Fedora Atomic (Silverblue/Kinoite),update_automation,strong
fedora_workstation,Fedora Workstation,memory_safety,weak
fedora_workstation,Fedora Workstation,allocator_hardening,weak
fedora_workstation,Fedora Workstation,sandboxing_primitives,partial
fedora_workstation,Fedora Workstation,mac_framework,partial
fedora_workstation,Fedora Workstation,verified_boot,weak
fedora_workstation,Fedora Workstation,reproducible_deployment,weak
fedora_workstation,Fedora Workstation,disposable_execution,weak
fedora_workstation,Fedora Workstation,update_automation,partial
debian_stable,Debian stable,memory_safety,weak
debian_stable,Debian stable,allocator_hardening,weak
debian_stable,Debian stable,sandboxing_primitives,weak
debian_stable,Debian stable,mac_framework,weak
debian_stable,Debian stable,verified_boot,weak
debian_stable,Debian stable,reproducible_deployment,weak
debian_stable,Debian stable,disposable_execution,weak
debian_stable,Debian stable,update_automation,partial
ubuntu_lts,Ubuntu LTS,memory_safety,weak
ubuntu_lts,Ubuntu LTS,allocator_hardening,weak
ubuntu_lts,Ubuntu LTS,sandboxing_primitives,partial
ubuntu_lts,Ubuntu LTS,mac_framework,partial
ubuntu_lts,Ubuntu LTS,verified_boot,weak
ubuntu_lts,Ubuntu LTS,reproducible_deployment,weak
ubuntu_lts,Ubuntu LTS,disposable_execution,weak
ubuntu_lts,Ubuntu LTS,update_automation,strong
kicksecure,Kicksecure,memory_safety,weak
kicksecure,Kicksecure,allocator_hardening,partial
kicksecure,Kicksecure,sandboxing_primitives,weak
kicksecure,Kicksecure,mac_framework,weak
kicksecure,Kicksecure,verified_boot,weak
kicksecure,Kicksecure,reproducible_deployment,weak
kicksecure,Kicksecure,disposable_execution,weak
kicksecure,Kicksecure,update_automation,partial
opensuse_aeon,openSUSE Aeon,memory_safety,weak
opensuse_aeon,openSUSE Aeon,allocator_hardening,weak
opensuse_aeon,openSUSE Aeon,sandboxing_primitives,weak
