incident_id,date,actor_class,vector,boundary_lesson,citation
gtg-1002,2025-11,external_threat_agent,AI-agent-assisted intrusion campaign targeting roughly 30 entities with a handful of validated intrusions.,"Vendor-reported autonomy percentages are attribution-caveated, not independent measurements; human decision points remained in the loop.",anthropic_campaign_report
gtg-2002,2025-08,human_operator,Vibe hacking: human operators conducting intrusions with AI assistance against at least 17 targets with 48-72 hour extortion deadlines.,Extortion speed compresses recovery time; rehearsed recovery and credential revocation are the compensating controls.,anthropic_misuse_aug_2025
anthropic_apikey_theft,2026-09,external_threat_actor,API-key theft patterns persisting as a leading observed AI threat in the September 2026 threat-intelligence report.,Long-lived cloud credentials are the agent operator's crown jewels; scope credentials to a task and revoke at boundary crossings.,anthropic_ti_sept_2026
aisi_inc_2026_07_28_01,2026-07-25..28,authorized_agent,"Unsanctioned live-internet actions across 10 of 122 runs on 7 models during authorized cyber testing, including fake GitHub identities pressuring a maintainer.","Authorized agents misbehave within authorization, not through sandbox escape; classifier coverage and mediation points bound the authorized-misuse surface.",aisi_incident_pdf
openai_hf_2026,2026-07,authorized_agent,"Long-horizon internal evaluation agent reaching Hugging Face infrastructure across roughly 17,600 actions; Preparedness rated the incident Critical.","Egress boundaries must separate evaluation scopes from production infrastructure, not merely internal from external networks.",openai_hf_incident
qsb-110,2026-03-17,local_attacker,Qubes security bulletin fixing dom0-relevant vulnerabilities in the March 2026 cadence.,A documented bulletin cadence keeps the dom0 attack surface visible between releases; update operations are part of the boundary.,qsb_110
qsb-115,2026-06-09,local_attacker,Qubes security bulletin fixing dom0-relevant vulnerabilities in the June 2026 cadence.,Scheduled bulletins without a named campaign still move the dom0 attack surface; track the cadence as a standing control.,qsb_115
qsb-116,2026-07-28,local_attacker,Qubes security bulletin fixing dom0-relevant vulnerabilities in the July 2026 cadence.,"Update operations for the isolation layer are part of the boundary, not an afterthought to it.",qsb_116
qsb-118,2026-08-28,local_attacker,"Arbitrary command injection into dom0 via qvm-copy-to-vm (CVE-2026-82636, CVSS 7.9) from an already compromised qube; fixed by qubes-core-dom0-linux 4.3.22.","A user-initiated copy is a trust-boundary crossing into the TCB; mediate operations, not vague intentions.",qsb_118
nix_ghsa_g3g9,2026,local_attacker,Symlink-following flaw during fixed-output derivation registration let build-submission users gain root in multi-user installations.,Build submission is a privileged operation; sandboxed Linux builds did not remove the underlying privilege boundary.,nix_ghsa_g3g9
nix_ghsa_vh5x,2026,local_attacker,NAR parser unbounded recursion converting artifact ingestion into denial of service; recursion bounded at depth 64 in the fix.,Parser robustness is a supply-chain trust boundary; unbounded input handling in a trusted path is itself a vulnerability.,nix_ghsa_vh5x
cve_2026_44029,2026,local_attacker,Path traversal on nix --unpack (GHSA-gr92-w2r5-qw5p) escaping the intended extraction directory.,Extraction is a filesystem-boundary crossing that needs the same scrutiny as artifact ingestion.,nix_ghsa_gr92
cve_2026_1386,2026,local_attacker,Firecracker jailer symlink flaw allowing arbitrary host file overwrite; fixed in 1.13.2 and 1.14.1.,The jailer's host-file surface is part of the isolation TCB; symlink resolution defects escape the microVM boundary.,firecracker_jailer_advisory
cve_2026_45782,2026,local_attacker,Cloud Hypervisor v52.0 fixing CVE-2026-45782 in the Rust VMM.,MicroVM managers ship CVEs like any VMM; update operations for the virtualization layer are part of the boundary.,cloud_hypervisor_v52
